iter	Logloss
0	0.6059400771
1	0.5400922155
2	0.4908870409
3	0.4539960435
4	0.4240674624
5	0.4022831616
6	0.3846076149
7	0.370452346
8	0.3598143601
9	0.3495110637
10	0.3425411482
11	0.3381668676
12	0.3322838592
13	0.3290165197
14	0.3236222801
15	0.3189119549
16	0.3159499537
17	0.3128528358
18	0.3102455301
19	0.307195721
20	0.3054203515
21	0.301603898
22	0.2987227651
23	0.2965782362
24	0.2951042393
25	0.2936904379
26	0.2920174288
27	0.2908115745
28	0.2900210349
29	0.2891705261
30	0.2883956584
31	0.2859933644
32	0.2845709694
33	0.2831649888
34	0.2821848746
35	0.2814292978
36	0.2794794907
37	0.2790029858
38	0.2784958718
39	0.2775772744
40	0.2765612903
41	0.2753866494
42	0.2747792094
43	0.27385089
44	0.2721952696
45	0.2716361679
46	0.2705037291
47	0.2698346538
48	0.2690929507
49	0.2685796198
50	0.2680126365
51	0.2674028033
52	0.2663778387
53	0.2657899021
54	0.2647980335
55	0.2644699794
56	0.2636127718
57	0.2631340298
58	0.2626595238
59	0.2617057832
60	0.261186464
61	0.260759421
62	0.2593907613
63	0.2588532448
64	0.258208765
65	0.2573218411
66	0.256327477
67	0.2554534256
68	0.2545834633
69	0.2537954631
70	0.2525753913
71	0.2514658724
72	0.2511986216
73	0.2502958499
74	0.2498283828
75	0.2493545405
76	0.2485507375
77	0.2476259764
78	0.2464109138
79	0.2460427927
80	0.2452040494
81	0.2448757349
82	0.2445997995
83	0.2437891601
84	0.2433900245
85	0.2425173699
86	0.2416170706
87	0.2413577169
88	0.240997429
89	0.2405041561
90	0.2400433798
91	0.2394605713
92	0.2388468557
93	0.2381427542
94	0.2377122565
95	0.2370802274
96	0.2366054215
97	0.2356753244
98	0.2351916713
99	0.2345534137
100	0.2330758792
101	0.2323160352
102	0.2314764436
103	0.2307721838
104	0.2301499042
105	0.229432408
106	0.2288001485
107	0.2283919536
108	0.2278411367
109	0.2271678734
110	0.2263356595
111	0.2256525805
112	0.2250981762
113	0.2247717162
114	0.2235969953
115	0.2231302483
116	0.2224574564
117	0.2214427847
118	0.2209825506
119	0.2203927174
120	0.2199283554
121	0.2195451896
122	0.2184522185
123	0.2177385911
124	0.2171115694
125	0.2161185784
126	0.2154978512
127	0.2150208133
128	0.214287837
129	0.2132228311
130	0.2127483716
131	0.2120800067
132	0.2117438263
133	0.2113351657
134	0.2108233967
135	0.2104796575
136	0.2099507678
137	0.2095043434
138	0.209003097
139	0.208464567
140	0.2080082413
141	0.2075422731
142	0.2070817328
143	0.206738234
144	0.2063778669
145	0.2059992609
146	0.2056546735
147	0.204847628
148	0.2044505532
149	0.2038625111
150	0.2033838212
151	0.2026417562
152	0.2022666882
153	0.2019710602
154	0.2015477279
155	0.20090953
156	0.2004295818
157	0.2000675078
158	0.199687681
159	0.1994020721
160	0.198739118
161	0.1984081467
162	0.1980667578
163	0.1977253706
164	0.1973660945
165	0.1970629812
166	0.1967225655
167	0.1963037175
168	0.1960393805
169	0.1957821121
170	0.1952222719
171	0.1945625381
172	0.1943296606
173	0.1938458125
174	0.1930103974
175	0.1925979748
176	0.1919946339
177	0.1916944149
178	0.1913421719
179	0.190820275
180	0.1902378686
181	0.1899019949
182	0.1894152271
183	0.1887643338
184	0.1882252726
185	0.1876865627
186	0.1871825852
187	0.1868908943
188	0.1866842006
189	0.1860389007
190	0.1855291164
191	0.1854191823
192	0.1850800906
193	0.1844800308
194	0.1842093438
195	0.1837477954
196	0.1833314122
197	0.183116996
198	0.1827985226
199	0.1824574133
